飯店名稱:,三好行旅 (Sun Hao Hotel.Taichung)
位置:,南屯區
星級:,4.0
連結:,https://www.agoda.com/zh-tw/sun-hao-hotel-taichung/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,3364.87
 
飯店名稱:,MINI HOTELS - 逢甲館 (MINI HOTELS (Feng Jia Branch))
位置:,逢甲
星級:,3.5
連結:,https://www.agoda.com/zh-tw/mini-hotels-feng-jia-branch/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,1982.74
 
飯店名稱:,探索私旅 (Explore Hotel)
位置:,逢甲
星級:,4.0
連結:,https://www.agoda.com/zh-tw/explore-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,4200.0
 
飯店名稱:,台中東旅 (Hotel East Taichung)
位置:,中區
星級:,3.0
連結:,https://www.agoda.com/zh-tw/da-dun-street-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,2309.41
 
飯店名稱:,林酒店 (The Lin Hotel)
位置:,西屯區
星級:,5.0
連結:,https://www.agoda.com/zh-tw/the-lin-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,這天已經沒有空房了！
 
飯店名稱:,圖樂文旅 (Whoops Hotel)
位置:,逢甲
星級:,3.0
連結:,https://www.agoda.com/zh-tw/tu-le-wen-lu/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,2530.75
 
飯店名稱:,浮雲客棧 (Kloud Hotel)
位置:,逢甲
星級:,3.0
連結:,https://www.agoda.com/zh-tw/kloud-hotel_2/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,2400.0
 
飯店名稱:,逢甲金瑞文旅 (GOLD HOTEL)
位置:,逢甲
星級:,3.0
連結:,https://www.agoda.com/zh-tw/h10208156/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,1944.01
 
飯店名稱:,寶島53行館 (53 Hotel)
位置:,中區
星級:,4.0
連結:,https://www.agoda.com/zh-tw/53-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,4360.54
 
飯店名稱:,葉綠宿旅館 - 逢甲館 (Green Hotel-Fengjia)
位置:,逢甲
星級:,3.0
連結:,https://www.agoda.com/zh-tw/green-hotel-fengjia/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,3132.8
 
飯店名稱:,博奇大飯店 (Palmer Hotel)
位置:,中區
星級:,4.0
連結:,https://www.agoda.com/zh-tw/vip-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,1440.0
 
飯店名稱:,巧合大飯店 (Chance Hotel)
位置:,中區
星級:,3.0
連結:,https://www.agoda.com/zh-tw/chance-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,1296.0
 
飯店名稱:,雙星大飯店  (Twinstar Hotel)
位置:,東區
星級:,4.0
連結:,https://www.agoda.com/zh-tw/twinstar-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,2063.01
 
飯店名稱:,楓華沐月台灣大道行館 (Hotel Maple Taiwan Boulevard)
位置:,北區
星級:,3.0
連結:,https://www.agoda.com/zh-tw/hotel-maple/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,這天已經沒有空房了！
 
飯店名稱:,碧根逢甲酒店 (Taichung Fengjia Beacon Hotel)
位置:,逢甲
星級:,4.0
連結:,https://www.agoda.com/zh-tw/beacon-hotel/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,這天已經沒有空房了！
 
飯店名稱:,三好行旅 (Sun Hao Hotel.Taichung)
位置:,南屯區
星級:,4.0
連結:,https://www.agoda.com/zh-tw/sun-hao-hotel-taichung/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,3364.87
 
飯店名稱:,TALMUD Select伯達行旅 (Boda Hotel)
位置:,逢甲
星級:,4.0
連結:,https://www.agoda.com/zh-tw/boda-hotel-taichung/hotel/taichung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&isCityHaveAsq=false&los=10&checkin=2023-11-20
價格:,4136.05
 
飯店名稱:,富王大飯店 (Fulwon Hotel)
位置:,西屯區
星級:,4.0
